,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,EducationTypes,SelfTaughtTypes,LanguageWorkedWith,Salary,LanguageDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,OperatingSystem,Age,ConvertedSalary
17522,Greece,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Educator or academic researcher,3-5 years,0-2 years,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",C#;Java;Matlab;Python;SQL;HTML;CSS,510,C++;C#;Java;JavaScript;Objective-C;Perl;Python;R;Ruby;Scala;SQL;HTML;CSS,Spark,Angular;Django;Hadoop;Node.js;Spark;Spring;TensorFlow,Linux-based,18 - 24 years old,
83134,Nepal,"Yes, full-time","Not employed, but looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)",Web development or web design,,Front-end developer;Full-stack developer,3-5 years,0-2 years,Participated in a full-time developer training program or bootcamp,,JavaScript;TypeScript,120,JavaScript;TypeScript,Angular;Node.js;React,Angular;Node.js;React,Windows,18 - 24 years old,1440.0
858,Bangladesh,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,6-8 years,6-8 years,Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development,,C++;C#;Java;JavaScript;Matlab;SQL;HTML;Bash/Shell,100000,,Angular,,MacOS,25 - 34 years old,14436.0
53284,India,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Designer;Student,3-5 years,,,,C;PHP;HTML,,Python;R,,,,,
37884,Czech Republic,No,Employed part-time,Primary/elementary school,,100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer;Student;System administrator,3-5 years,0-2 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",C;C++;C#;Java;JavaScript;Lua;PHP;Python;SQL;HTML;CSS;Bash/Shell,220,Assembly;C++;C#;Perl;Python;R;Ruby;Rust;Bash/Shell,.NET Core;TensorFlow;Torch/PyTorch,.NET Core;TensorFlow,Linux-based,Under 18 years old,3228.0
55404,Austria,"Yes, part-time",Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;Mobile developer,3-5 years,3-5 years,"Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;A college/university computer science or software engineering book,Assembly;C;C++;C#;Java;PHP;R;SQL;VB.NET;HTML;CSS,1600,F#;Go;JavaScript;Ruby;Swift,.NET Core;Xamarin,,Windows,25 - 34 years old,23496.0
84157,Pakistan,No,"Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Student,3-5 years,0-2 years,Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Contributed to open source software,,Java;Python;HTML;CSS,,Assembly;C#;Java;JavaScript;Perl;Python;Ruby;HTML;CSS,,Django;Node.js;React;Torch/PyTorch,Windows,Under 18 years old,
47986,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",20 to 99 employees,Back-end developer;Data or business analyst;Desktop or enterprise applications developer;Full-stack developer,6-8 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",C#;F#;JavaScript;Python;SQL;VB.NET;HTML;CSS,110000,C#;F#;JavaScript;Python;SQL;HTML;CSS,.NET Core;Node.js;React;Xamarin,.NET Core;React;Xamarin,Windows,25 - 34 years old,110000.0
12790,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist,18-20 years,9-11 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","A book or e-book from O’Reilly, Apress, or a similar publisher",C;C++;C#;Python,180000,C++;JavaScript;Python,TensorFlow,TensorFlow,Linux-based,35 - 44 years old,180000.0
23858,Germany,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Full-stack developer,3-5 years,3-5 years,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow",C#;JavaScript;SQL;TypeScript;HTML;CSS,56000,C#;F#;JavaScript;SQL,Angular;.NET Core;Node.js;React,.NET Core;Node.js;React,Windows,25 - 34 years old,68537.0
